N,NB,Time(s),GFLOPS,Status
1000,1,0.15,4.3225e+00,PASSED
1000,2,0.09,7.0446e+00,PASSED
1000,4,0.05,1.3000e+01,PASSED
1000,8,0.03,2.1254e+01,PASSED
1000,16,0.03,1.9143e+01,PASSED
1000,32,0.03,2.4541e+01,PASSED
1000,64,0.03,2.1697e+01,PASSED
1000,128,0.03,2.0603e+01,PASSED
1000,256,0.03,2.0368e+01,PASSED
5000,1,49.26,1.6924e+00,PASSED
5000,2,23.01,3.6232e+00,PASSED
5000,4,11.23,7.4245e+00,PASSED
5000,8,5.96,1.4000e+01,PASSED
5000,16,3.51,2.3728e+01,PASSED
5000,32,2.53,3.2994e+01,PASSED
5000,64,1.97,4.2309e+01,PASSED
5000,128,1.69,4.9458e+01,PASSED
5000,256,1.80,4.6342e+01,PASSED
10000,1,315.72,2.1120e+00,PASSED
10000,2,163.06,4.0893e+00,PASSED
10000,4,82.66,8.0665e+00,PASSED
10000,8,45.86,1.4541e+01,PASSED
10000,16,26.03,2.5622e+01,PASSED
10000,32,17.29,3.8563e+01,PASSED
10000,64,12.94,5.1549e+01,PASSED
10000,128,12.81,5.2066e+01,PASSED
10000,256,12.62,5.2844e+01,PASSED
20000,1,ERROR,ERROR,UNKNOWN
20000,2,ERROR,ERROR,UNKNOWN
20000,4,ERROR,ERROR,UNKNOWN
20000,8,ERROR,ERROR,UNKNOWN
20000,16,ERROR,ERROR,UNKNOWN
20000,32,ERROR,ERROR,UNKNOWN
20000,64,ERROR,ERROR,UNKNOWN
20000,128,ERROR,ERROR,UNKNOWN
20000,256,ERROR,ERROR,UNKNOWN
